City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Ler,SS,8.3,30.14,71.06,93,27,0.49,scattered clouds
191,Ulladulla,AU,-35.35,150.47,57.2,71,96,8.05,overcast clouds
192,Port Augusta,AU,-32.5,137.77,43.0,87,99,5.82,overcast clouds
193,Pahrump,US,36.21,-115.98,107.01,8,0,1.01,clear sky
194,Cidreira,BR,-30.18,-50.21,57.81,85,73,8.84,light rain
195,Oistins,BB,13.07,-59.53,80.6,83,75,10.29,broken clouds
196,Camacupa,AO,-12.02,17.48,71.8,41,85,3.18,overcast clouds
197,Ilulissat,GL,69.22,-51.1,41.0,48,5,5.82,clear sky
198,Mbini,GQ,1.57,9.61,78.8,88,40,9.17,scattered clouds
199,Sibu,MY,2.3,111.82,75.2,100,40,0.81,scattered clouds
200,Ujiie,JP,36.68,139.97,86.0,94,20,1.12,fog
201,Domat,CH,46.83,9.45,57.0,82,21,2.51,few clouds
202,Erzin,TR,36.96,36.2,87.01,88,0,3.09,clear sky
203,Sitka,US,57.05,-135.33,57.2,82,90,5.82,overcast clouds
204,Bambanglipuro,ID,-7.95,110.28,75.16,91,77,6.62,broken clouds
205,Ratne,UA,51.67,24.53,56.35,74,18,4.68,few clouds
206,Cabo San Lucas,MX,22.89,-109.91,89.6,66,40,6.93,scattered clouds
207,Oktyabrskoye,RU,43.06,44.74,64.4,88,0,6.71,clear sky
208,Great Bend,US,38.36,-98.76,84.0,31,1,19.46,clear sky
209,Asau,RO,46.43,26.4,60.01,99,100,2.53,light rain
210,Hambantota,LK,6.12,81.12,80.51,79,12,14.05,few clouds
211,Lebu,CL,-37.62,-73.65,51.1,69,12,6.33,few clouds
212,Nyurba,RU,63.28,118.33,44.51,94,3,4.92,clear sky
213,Carora,VE,10.18,-70.08,87.62,49,98,7.9,light rain
214,San Patricio,MX,19.22,-104.7,89.6,75,40,11.41,scattered clouds
215,Bengkulu,ID,-3.8,102.27,75.97,89,86,5.53,light rain
216,Constitucion,CL,-35.33,-72.42,54.37,72,26,12.48,scattered clouds
217,Kaitangata,NZ,-46.28,169.85,46.0,72,100,1.01,overcast clouds
218,Isla Vista,US,34.41,-119.86,84.99,69,20,9.17,haze
219,Pitsunda,GE,43.16,40.34,75.0,88,17,6.71,few clouds
220,Vila Velha,BR,-20.33,-40.29,80.01,69,20,14.99,few clouds
221,College,US,64.86,-147.8,59.0,67,40,4.7,scattered clouds
222,Namibe,AO,-15.2,12.15,63.09,74,63,2.13,broken clouds
223,Champerico,GT,14.3,-91.92,80.6,88,90,13.87,overcast clouds
224,Roald,NO,62.58,6.13,59.0,82,75,3.36,light rain
225,Byron Bay,AU,-28.65,153.62,61.0,87,90,1.12,overcast clouds
226,Ugoofaaru,MV,5.67,73.0,81.36,80,100,17.54,moderate rain
227,Puksoozero,RU,62.59,40.61,52.18,86,70,6.73,broken clouds
228,Lavrentiya,RU,65.58,-171.0,40.84,79,100,7.94,overcast clouds
229,Sao Joao Da Barra,BR,-21.64,-41.05,77.0,69,2,20.8,clear sky
230,Matara,LK,5.95,80.54,78.64,88,25,10.09,scattered clouds
231,Rabo De Peixe,PT,37.8,-25.58,73.4,73,75,4.83,broken clouds
232,Meulaboh,ID,4.14,96.13,75.74,85,96,3.22,overcast clouds
233,Nizwa,OM,22.93,57.53,86.02,37,91,2.82,overcast clouds
234,Korla,CN,41.76,86.15,84.0,50,93,5.99,overcast clouds
235,Pontes E Lacerda,BR,-15.23,-59.34,98.89,15,45,4.38,scattered clouds
236,Pevek,RU,69.7,170.31,35.02,95,93,10.31,overcast clouds
237,Veydelevka,RU,50.15,38.45,70.5,43,86,14.43,overcast clouds
238,Ancud,CL,-41.87,-73.82,51.01,67,0,4.0,clear sky
239,Anacortes,US,48.51,-122.61,77.0,50,1,8.05,clear sky
240,Lodja,CD,-3.48,23.43,72.28,77,67,1.86,broken clouds
241,Karratha,AU,-20.74,116.85,69.13,27,10,5.35,clear sky
242,Norman Wells,CA,65.28,-126.83,53.6,66,75,8.05,broken clouds
243,Garissa,KE,-0.45,39.64,73.96,69,0,19.3,clear sky
244,Chikhli,IN,20.35,76.25,74.16,87,10,4.74,clear sky
245,Tungor,RU,53.38,142.96,54.07,95,100,12.57,light rain
246,Rio Gallegos,AR,-51.62,-69.22,44.6,70,40,14.99,scattered clouds
247,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,74.84,79,70,10.42,broken clouds
248,Elin Pelin,BG,42.67,23.6,64.4,68,75,10.29,broken clouds
249,Mahebourg,MU,-20.41,57.7,66.2,72,20,9.17,few clouds
250,Alyangula,AU,-13.85,136.42,64.4,100,90,7.2,overcast clouds
251,Puerto Gaitan,CO,4.31,-72.08,87.64,58,23,3.74,light rain
252,Kokopo,PG,-4.35,152.26,78.82,77,100,4.61,overcast clouds
253,Sistranda,NO,63.73,8.83,59.0,76,75,6.93,broken clouds
254,Isangel,VU,-19.55,169.27,69.8,68,75,19.55,broken clouds
255,Segou,ML,13.43,-6.22,78.64,80,93,3.18,overcast clouds
256,Belaya Gora,RU,68.53,146.42,38.46,76,1,5.57,clear sky
257,San Carlos De Bariloche,AR,-41.15,-71.31,42.8,56,75,26.4,shower rain
258,Leshukonskoye,RU,64.9,45.76,45.86,89,5,3.56,clear sky
259,Along,IN,28.17,94.77,73.18,88,91,1.34,overcast clouds
260,Khorixas,NA,-20.37,14.97,63.32,29,7,3.65,clear sky
261,Mehamn,NO,71.04,27.85,60.8,55,0,20.8,clear sky
262,Albury,AU,-36.08,146.92,44.01,93,90,0.87,overcast clouds
263,Nemuro,JP,43.32,145.57,61.32,93,81,10.42,broken clouds
264,Krasnoselkup,RU,65.7,82.47,42.42,89,0,11.23,clear sky
265,Chegdomyn,RU,51.12,133.02,63.73,83,81,7.2,broken clouds
266,Waw,SS,7.7,28.0,71.13,92,87,0.4,overcast clouds
